type,category
income,salary
income,allowance
income,investment
income,interest
income,others
expense,food
expense,grocery
expense,shopping
expense,transpo(?)
expense,sports
expense,communication
expense,fashion
expense,travel
expense,

expense,entertainment
expense,utility
expense,rent
expense,
expense,
expense,
